fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
245101501001,43,22,34,0,27,0,0,65,0,0,20,17,11,0,0,0
245101501002,144,40,15,57,9,13,0,23,39,12,20,0,21,0,0,0
245101501003,140,38,83,0,20,69,17,28,26,32,29,9,17,4,0,0
245101502001,31,35,38,69,27,6,33,0,8,26,74,20,7,0,0,0
245101502002,39,10,21,9,12,0,27,15,0,23,23,10,0,0,0,0
245101502003,21,25,42,49,7,0,21,36,0,5,49,24,0,0,0,0
245101503001,41,10,30,11,5,23,30,65,10,0,33,9,6,0,0,0
245101503002,57,0,0,22,21,69,16,0,18,57,8,15,20,0,16,0
245101503003,25,35,42,17,0,13,0,0,0,4,25,4,0,0,14,0
245101504001,53,50,16,0,27,18,10,26,17,12,11,23,10,0,0,0
245101504002,50,50,19,12,31,25,24,41,0,20,27,35,0,0,0,0
245101504003,80,33,28,23,9,45,11,38,24,0,32,33,45,0,0,24
245101505001,85,23,52,50,35,14,11,36,0,21,14,24,0,0,0,0
245101505002,0,19,0,29,43,47,22,19,16,19,29,47,19,27,0,0
245101506001,45,45,9,0,13,28,11,0,25,23,12,8,0,8,0,0
245101506002,32,70,11,0,11,11,5,4,0,12,0,0,0,0,0,0
245101506003,45,0,0,36,8,0,0,6,11,0,11,19,0,0,0,0
245101506004,17,9,0,20,0,0,0,0,14,0,0,0,8,0,0,0
245101506005,69,64,0,26,56,66,0,8,10,0,19,7,10,0,0,0
245101507011,24,0,0,4,7,11,0,6,0,19,21,6,0,66,18,0
245101507012,65,0,9,13,0,20,0,37,0,32,38,0,13,0,0,0
245101507013,6,11,0,15,11,6,48,0,20,6,12,27,6,0,0,15
245101507021,16,43,22,0,19,36,7,41,10,63,57,31,25,14,0,0
245101507022,19,46,15,39,13,0,26,20,0,27,29,35,0,12,28,0
245101507023,16,0,22,0,0,13,6,10,0,0,43,11,9,12,13,0
245101508001,36,76,23,0,25,10,42,23,13,40,13,20,14,0,0,0
245101508002,73,0,0,0,68,0,0,0,0,16,0,0,16,0,0,0
245101508003,104,0,38,16,0,70,0,0,84,32,10,25,0,0,15,9
245101508004,0,24,35,0,10,0,0,0,0,0,8,0,0,0,0,0
245101508005,39,0,32,23,20,0,67,0,0,0,35,20,0,0,0,0
245101508006,0,0,51,0,0,0,58,25,66,0,6,45,29,47,0,0
245101509001,45,0,10,49,18,0,23,24,9,27,0,66,5,10,0,0
245101509002,74,64,34,32,0,0,17,14,8,25,0,20,26,10,20,0
245101509003,19,0,31,0,9,0,0,30,0,15,0,27,0,0,9,58
245101509004,0,0,21,15,8,7,8,18,14,21,18,58,23,10,0,0
245101510001,0,0,42,0,0,32,9,10,0,38,9,34,0,0,38,0
245101510002,33,26,15,48,15,24,0,0,9,48,40,9,0,10,14,11
245101510003,0,61,0,65,0,0,37,9,14,31,0,0,8,8,0,0
245101510004,18,32,8,0,0,0,0,0,0,0,9,13,0,0,23,0
245101510005,71,56,24,0,0,77,11,0,0,34,53,0,66,26,40,0
245101510006,64,57,10,12,46,0,15,0,10,40,0,0,0,0,0,0
245101510007,9,29,0,0,0,60,0,0,0,0,14,23,0,0,0,0
245101511001,62,0,0,17,20,34,15,110,0,23,0,103,24,0,0,0
245101511002,159,36,49,131,0,127,66,17,70,66,37,77,0,0,0,0
245101511003,0,15,116,0,18,19,17,93,24,19,21,52,20,0,11,0
245101511004,14,0,50,0,0,0,75,45,15,0,26,32,29,118,20,0
245101511005,74,41,0,34,0,0,0,0,0,9,47,75,20,4,0,0
245101511006,21,53,44,15,63,0,0,0,55,0,25,33,0,54,18,0
245101512001,283,223,64,24,18,13,0,18,19,26,43,50,24,41,0,8
245101512002,0,58,0,0,16,0,0,12,0,13,11,0,0,0,0,0
245101512003,45,12,7,0,72,36,0,14,0,0,11,34,0,0,0,0
245101512004,54,60,8,0,42,13,9,65,0,0,8,0,0,0,0,0
245101512005,134,0,13,37,0,27,7,22,0,7,13,8,72,12,0,0
245101513001,133,51,18,10,24,47,14,18,15,80,0,8,11,7,0,0
245101513002,74,86,9,0,10,0,0,0,10,16,47,24,0,0,0,0
245101513003,0,9,0,10,7,0,0,64,0,0,0,8,0,0,0,0
245101513004,146,32,50,27,0,6,0,8,34,41,23,43,25,10,15,0
245101513005,18,11,40,11,0,33,37,26,0,46,0,25,0,0,0,0
245101601001,16,0,0,71,24,0,0,23,0,26,15,0,0,0,0,0
245101601002,23,0,43,44,0,0,43,22,0,35,0,4,0,0,0,7
245101601003,172,157,55,7,0,7,0,0,0,10,0,0,0,0,0,17
245101601004,65,21,53,27,18,6,6,0,6,9,13,20,0,0,19,0
245101602001,7,6,0,15,49,8,18,15,13,33,69,46,0,11,0,0
245101602002,90,35,6,26,4,0,7,13,0,55,34,20,0,0,0,0
245101602003,61,19,33,39,27,33,51,17,0,45,32,0,0,0,9,0
245101603001,23,0,0,4,105,0,0,4,17,60,8,0,0,0,0,0
245101603002,74,35,16,54,53,0,0,0,0,9,17,0,18,0,0,0
245101604001,5,24,15,17,5,26,10,6,0,26,7,0,11,4,0,0
245101604002,84,6,32,28,29,21,22,0,12,30,10,10,23,12,0,0
245101604003,30,29,0,6,0,0,9,17,0,14,37,4,12,0,0,0
245101604004,29,33,21,30,0,0,27,12,0,0,28,0,17,0,0,0
