fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
220710017452,57,78,37,9,10,6,16,34,0,6,60,92,40,7,17,0
220710017461,58,32,44,0,0,30,59,26,64,64,35,71,0,16,0,0
220710017462,42,95,44,48,97,12,27,0,12,57,17,32,30,0,0,0
220710017463,129,22,65,10,0,45,34,45,0,29,105,17,0,0,0,0
220710017471,18,48,49,0,22,29,30,21,20,76,64,162,66,116,47,35
220710017472,19,0,38,29,0,0,12,12,8,38,72,32,30,57,63,14
220710017481,74,0,9,27,5,0,0,5,22,33,60,28,69,31,0,0
220710017482,64,60,15,0,85,14,0,20,79,23,35,12,28,13,0,0
220710017483,65,53,0,10,51,41,15,30,0,31,29,17,8,36,7,0
220710017484,0,0,0,11,50,22,11,8,0,12,66,57,0,0,0,0
220710017491,43,21,20,21,9,42,31,46,7,17,35,46,22,0,13,0
220710017492,129,35,0,59,20,56,34,4,0,50,4,42,11,26,0,0
220710017501,39,12,25,0,0,24,57,13,8,95,22,6,28,19,0,0
220710017502,47,30,50,31,49,0,0,14,22,0,0,29,0,0,0,0
220710017503,158,69,61,18,38,22,17,15,7,17,74,17,23,0,0,9
220710017511,68,11,42,44,46,4,3,0,7,5,7,0,0,9,0,0
220710018001,46,13,18,54,0,3,8,34,30,37,33,84,15,42,4,0
220710018002,13,6,14,55,17,7,0,31,6,41,55,61,8,9,18,15
220710019001,80,34,12,4,32,0,9,10,0,0,0,4,0,0,0,0
220710019002,108,8,6,15,0,29,17,0,0,25,1,0,0,2,7,0
220710019003,28,43,3,22,20,17,0,0,45,0,17,30,0,2,0,0
220710020001,89,18,0,5,0,6,24,22,0,0,7,12,0,0,12,0
220710020002,52,22,44,19,0,1,18,21,0,29,0,0,0,0,0,0
220710020003,53,7,10,6,0,7,4,0,0,0,15,0,0,0,0,0
220710021001,73,25,52,0,0,11,0,0,0,0,13,0,8,0,0,0
220710021002,57,6,13,22,3,10,7,0,0,5,27,0,12,0,0,6
220710022001,20,13,12,41,0,0,6,4,18,0,4,4,0,0,0,0
220710022002,33,4,0,8,11,11,5,17,0,0,47,23,0,0,0,0
220710022003,22,15,28,7,0,5,5,0,0,7,0,0,3,11,0,0
220710023001,3,5,0,0,0,9,8,0,0,5,14,0,0,0,0,0
220710023002,77,6,0,25,11,4,0,0,0,6,0,0,0,0,0,0
