fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
360610037000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610037001,8,22,4,0,7,0,0,5,10,28,17,61,27,13,69,101
360610037002,24,21,12,38,2,21,9,0,17,35,26,99,0,61,70,47
360610037003,6,20,31,0,0,19,23,0,11,32,32,30,51,37,64,60
360610038001,158,12,7,27,60,11,26,11,36,52,56,109,103,0,24,68
360610038002,41,0,27,21,16,61,0,14,41,0,73,79,10,29,0,13
360610038003,133,47,0,54,114,10,16,25,0,13,48,123,49,18,77,19
360610038004,9,33,0,18,18,0,0,22,60,0,17,186,238,44,29,50
360610038005,157,0,173,68,49,24,0,14,59,132,194,46,0,54,51,43
360610038006,71,16,16,0,0,19,0,0,0,0,33,102,112,73,32,21
360610038007,29,82,59,14,19,0,26,130,17,59,34,164,53,10,97,18
360610039000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610039001,0,0,0,0,43,17,0,14,0,65,33,59,52,27,18,420
360610039002,226,72,13,65,38,38,30,0,0,31,66,18,43,16,85,112
360610039003,0,23,53,11,29,0,0,0,0,27,64,72,12,29,30,30
360610039004,16,0,15,12,0,0,0,0,13,24,0,40,0,6,55,380
360610040001,100,37,29,98,30,0,0,0,0,125,98,187,74,0,142,182
360610040002,0,10,0,19,0,17,0,19,14,0,50,85,0,37,0,88
360610040003,85,0,0,26,0,0,0,0,0,58,0,152,113,0,45,53
360610040004,76,0,0,14,15,15,38,0,0,69,20,49,67,10,128,14
360610040005,95,48,23,0,57,16,10,12,0,37,94,14,113,127,67,229
360610040006,76,44,24,69,56,0,24,52,0,0,78,110,43,69,37,87
360610041001,46,16,140,0,27,0,0,0,0,31,0,63,0,2,53,73
360610041002,133,51,83,8,0,0,0,4,0,24,9,14,0,10,14,80
360610041003,126,31,76,38,29,0,0,31,17,44,50,0,96,88,28,0
360610041004,144,104,10,0,0,16,12,13,14,68,0,15,61,30,22,62
360610041005,85,0,81,17,32,0,32,0,0,0,14,0,0,30,41,73
360610041006,38,0,0,62,78,19,67,18,9,49,0,55,101,35,113,103
360610042001,70,0,67,24,27,13,13,12,26,72,58,36,60,19,206,265
360610042002,21,11,54,9,2,12,9,27,0,20,0,57,73,72,91,172
360610043001,28,29,39,14,56,29,26,70,14,117,81,16,40,130,98,248
360610043002,80,23,10,100,0,43,53,10,0,0,46,13,27,16,72,10
360610043003,105,35,12,14,17,83,32,27,0,14,107,82,55,38,60,115
360610044000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610044001,212,19,35,0,55,0,89,0,0,14,43,267,170,100,296,199
360610044002,0,0,0,16,11,40,0,64,0,16,0,65,161,31,26,28
360610044003,24,96,36,10,0,0,18,53,17,168,144,315,39,23,173,184
360610044004,32,34,13,0,12,0,44,0,0,47,37,0,26,119,26,109
360610044005,17,29,28,55,66,25,45,100,79,47,111,91,118,59,277,96
360610044006,66,8,25,0,7,12,0,12,0,0,0,24,324,45,83,96
360610044007,128,71,15,43,12,80,28,87,12,40,14,238,191,152,102,208
360610044008,52,104,39,0,0,18,37,9,60,17,185,68,50,10,86,143
360610045001,46,15,5,4,13,3,0,0,4,15,16,60,14,29,40,144
360610047001,31,53,8,22,19,0,107,32,8,51,27,83,72,12,12,112
360610047002,8,37,24,10,0,20,16,0,0,63,64,128,47,18,9,204
360610048001,0,14,17,16,0,18,0,13,18,31,32,46,112,70,132,161
360610048002,0,0,18,39,0,0,0,0,0,33,51,62,78,37,100,134
360610048003,20,13,0,17,0,13,0,30,0,36,87,0,12,13,15,99
360610048004,16,18,13,34,0,49,13,0,13,72,26,158,58,57,114,110
360610048005,0,0,21,0,17,14,32,57,0,18,69,98,12,26,99,68
360610048006,12,0,0,16,18,0,16,57,18,63,32,108,14,153,51,77
360610048007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610049001,25,18,14,0,25,14,47,0,47,33,43,99,23,40,49,253
360610049002,33,25,13,0,25,11,31,45,0,61,95,143,171,43,80,214
360610049003,32,43,0,0,67,73,0,10,18,65,55,170,160,65,95,112
360610050001,0,14,13,24,0,36,0,38,0,55,51,54,13,20,96,190
360610050002,16,0,39,0,0,0,0,13,0,0,50,43,24,77,14,43
360610050003,49,53,0,0,0,25,25,0,11,44,102,15,40,32,77,95
360610050004,62,12,0,15,0,0,0,49,11,15,12,48,37,41,56,166
360610050005,37,46,67,28,24,0,0,50,40,69,38,167,115,14,145,112
360610052001,76,0,7,0,0,0,0,0,9,9,9,8,25,0,55,258
360610052002,49,13,17,10,0,27,0,54,8,34,37,74,85,92,85,439
360610054001,48,10,0,9,36,18,0,15,23,0,20,14,36,34,118,280
360610054002,52,0,13,67,45,24,58,0,0,66,39,116,56,26,162,147
360610054003,53,0,51,25,0,0,15,12,0,41,78,128,90,42,51,361
360610055011,0,31,14,12,16,0,50,32,0,33,50,59,31,0,136,130
360610055012,53,15,10,115,42,10,15,0,0,25,94,65,183,24,166,329
360610055013,0,0,15,0,0,13,0,0,0,85,12,44,0,45,96,140
360610055021,31,0,9,15,11,10,10,0,0,31,18,9,18,0,19,113
360610055022,96,7,6,9,0,34,10,0,16,49,73,54,126,12,187,207
360610056001,167,13,15,26,10,0,0,12,0,45,26,30,0,0,20,217
360610056002,25,0,14,0,0,0,13,46,0,51,31,48,36,25,60,218
360610056003,30,0,0,0,0,13,0,0,16,73,0,51,46,48,127,73
360610057001,11,19,0,34,0,13,29,0,0,12,9,10,93,31,56,126
360610057002,41,0,0,12,0,13,49,29,39,9,56,94,116,89,134,528
360610058001,163,26,14,187,75,31,16,17,20,109,239,111,65,83,171,761
360610059001,54,0,0,17,0,55,0,18,16,18,37,18,52,45,51,405
360610059002,0,0,18,0,0,0,16,0,0,0,0,0,14,11,32,100
360610059003,90,38,43,0,20,0,33,37,0,20,87,116,112,44,35,84
360610059004,15,0,21,19,60,0,0,0,37,46,0,46,28,0,42,222
360610059005,53,0,23,12,36,59,25,17,0,43,16,58,19,74,48,101
